ID,en,es
199733009,Abnormal hematologic finding on antenatal screening of mother,hallazgo hematológico anormal en rastreo materno prenatal
11082009,Abnormal pregnancy ,embarazo anormal
416413003,Advanced maternal age gravida ,embarazada añosa
427013000,Alcohol consumption during pregnancy ,consumo de alcohol durante el embarazo
243826008,Antenatal care status ,situación del cuidado prenatal
10750111000119100,Breast lump in pregnancy ,tumoración de mama en el embarazo
127376007,Cervical effacement finding ,borramiento cervical
249020006,Cervical observation during pregnancy and labor ,observación del cuello uterino durante el embarazo y el trabajo de parto
289783000,Cervix central ,cuello uterino centralizado
106111002,Clinical sign related to pregnancy ,signo clínico relacionado con el embarazo
724483001,Concern about body image related to pregnancy ,preocupación por la imagen corporal relacionada con el embarazo
445548006,Dead fetus in utero ,feto muerto en útero
118215003,Delivery finding ,hallazgo relacionado con el parto
173300003,Disorder of pregnancy ,trastorno del embarazo
27574007,Fertilization in vivo ,fertilización en vivo
289827009,Finding of cervical cerclage suture,hallazgo relacionado con sutura de cerclaje cervical
289761004,Finding of cervical dilatation ,hallazgo relacionado con la dilatación cervical
289675001,Finding of gravid uterus ,hallazgo relacionado con el útero grávido
289205009,Finding of measures of pregnancy ,hallazgo relacionado con las mediciones del embarazo
289573002,Finding of passing of operculum ,hallazgo relacionado con la eliminación del tapón mucoso
289203002,Finding of pattern of pregnancy ,hallazgo relacionado con las características del embarazo
301801008,Finding of position of pregnancy ,hallazgo relacionado con la localización del embarazo
289766009,Finding of thickness of cervix ,hallazgo relacionado con el espesor del cuello uterino
289208006,Finding of viability of pregnancy ,hallazgo relacionado con la viabilidad del embarazo
118180006,Finding related to amniotic fluid function ,hallazgo relacionado con la función del líquido amniótico
199087006,Habitual aborter - delivered ,abortadora habitual - llevado a cabo
199088001,Habitual aborter - not delivered ,abortadora habitual - no llevado a cabo
237036002,Habitual aborter-not pregnant ,abortadora habitual - no embarazada
10755951000119100,Heart murmur in mother in childbirth ,soplo cardíaco en la madre en el momento del nacimiento
10231000132102,IVF - in-vitro fertilization pregnancy ,embarazo por fertilización in vitro
9121000119106,Low back pain in pregnancy ,dolor lumbar en el embarazo
100801000119107,Maternal tobacco use in pregnancy ,consumo materno de tabaco durante el embarazo
289606001,Maternity pad damp with liquor ,apósito materno humedecido con líquido amniótico
289608000,Maternity pad soaked with liquor ,apósito de maternidad empapado con líquido amniótico
289607005,Maternity pad wet with liquor ,apósito materno mojado con líquido amniótico
249207000,Membrane at cervical os ,membranas en orificio cervical externo
33340004,Multiple conception ,concepción múltiple
289572007,No liquor observed vaginally ,no se observa líquido amniótico en vagina
60001007,Not pregnant ,no embarazada
10760581000119100,Pain in round ligament in pregnancy ,dolor en ligamento redondo del útero durante el embarazo
278058008,Partially effaced cervix ,borramiento parcial de cérvix
10756261000119100,Physical abuse complicating childbirth ,maltrato físico que complica el nacimiento
10756301000119100,Physical abuse complicating pregnancy ,maltrato físico que complica el embarazo
249206009,Placental fragments at cervical os ,fragmentos de placenta en el orificio cervical
249205008,Placental fragments in uterus ,fragmentos de placenta en el útero
102874004,Possible pregnancy ,posible embarazo
275306006,Postnatal data ,datos puerperales
152231000119106,Pregnancy not yet confirmed ,embarazo no confirmado aún
77386006,Pregnant ,embarazada
118189007,Prenatal finding ,hallazgo prenatal
127362006,Previous pregnancies 127362006,embarazos anteriores
248937008,Products of conception at uterine os cervix ,producto de la concepción a nivel del orificio del cuello uterino
248896000,Products of conception in vagina ,productos de la concepción en vagina
10760981000119100,Psychological abuse complicating pregnancy ,maltrato psicológico que complica el embarazo
289765008,Ripe cervix ,cuello uterino maduro
10761021000119100,Sexual abuse complicating childbirth ,abuso sexual que complica el nacimiento
10761061000119100,Sexual abuse complicating pregnancy ,abuso sexual que complica el embarazo
284075002,Spotting per vagina in pregnancy ,sangrado vaginal en gotas durante el embarazo
91271004,Superfetation ,superfetación
72417002,Tumultuous uterine contraction,contracción uterina tumultuosa
278056007,Uneffaced cervix ,cuello uterino no erosionado
9279009,Extra-amniotic pregnancy ,embarazo extramniótico
45307008,Extrachorial pregnancy ,embarazo extracorial
47200007,High risk pregnancy ,embarazo de alto riesgo
439311009,Intends to continue pregnancy ,tiene intención de continuar el embarazo
65727000,Intrauterine pregnancy ,embarazo intrauterino
102876002,Multigravida ,múltiples embarazos previos
72892002,Normal pregnancy ,embarazo normal
127363001,"Number of pregnancies, currently pregnant ","número de embarazos, actualmente ambarazadas"
14418008,Precocious pregnancy ,embarazo precoz
169561007,Pregnant - blood test confirms ,embarazada - confirmación por análisis de sangre
169564004,Pregnant - on abdominal palpation ,embarazada - confirmación por palpación abdominal
169563005,Pregnant - on history ,embarazada - en historia clínica
169560008,Pregnant - urine test confirms ,embarazada - confirmación por análisis de orina
169562000,Pregnant - V.E. confirms ,embarazada - confirmación por examen vaginal
83074005,Unplanned pregnancy ,embarazo no planeado
58532003,Unwanted pregnancy ,embarazo no deseado
