ID,es,en
199733009,hallazgo hematológico anormal,Anormal hematological finding
11082009,embarazo,Pregnancy
416413003,embarazo,Pregnancy
427013000,alcohol,Alcohol
243826008,cuidado prenatal,Prenatal care
"1,07501110001191E+016",Tumoración,Tumor
127376007,Cervical,Cervical
249020006,Cuello uterino,Cervix
289783000,Cuello uterino,Uterine neck (Cervix)
106111002,embarazo,Pregnancy
724483001,imagen,Image
445548006,muerto,Dead
118215003,parto,Childbirth
173300003,trastorno,Disorder
27574007,fertilización,Fertilization
289827009,cervical,Cervical
289761004,Cervical,Cervical
289675001,uterino,Uterine
289205009,mediciones,Measurements
289573002,tapon mucoso,Mucus plug
289203002,embarazo,Pregnancy
301801008,embarazo,Pregnancy
289766009,uterino,Uterine
289208006,embarazo,Pregnancy
118180006,liquido amniotico,Amniotic fluid
199087006,aborto,Abortion
199088001,aborto,Abortion
237036002,aborto,Abortion
"1,07559510001191E+016",Soplo,Murmur
10231000132102,fertilización,Fertilization
9121000119106,Dolor,Pain
100801000119107,tabaco,Tobacco
289606001,liquido amniotico,Amniotic fluid
289608000,amniótico,Amniotic
289607005,amniótico,Amniotic
249207000,orificio,Orifice
33340004,Multiple,Multiple
289572007,liquido amniotico,Amniotic fluid
60001007,No,Not
"1,07605810001191E+016",Dolor,Pain
278058008,Cervical,Cervical
"1,07562610001191E+016",Maltrato,Abuse
"1,07563010001191E+016",Maltrato,Abuse
249206009,cervical,Cervical
249205008,placenta,Placenta
102874004,Possible,Possible
275306006,Postnatal,Postnatal
152231000119106,Embarazo,Pregnancy
77386006,embarazo,Pregnancy
118189007,Prenatal,Prenatal
127362006,Previous,Previous
248937008,concepción,Conception
248896000,vagina,Vagina
"1,07609810001191E+016",Maltrato,Abuse
289765008,Cuello uterino,Uterine neck (Cervix)
"1,07610210001191E+016",Abuso,Abuse
"1,07610610001191E+016",Abuso,Abuse
284075002,sangrado,Bleeding
91271004,superfetación,Superfetation
72417002,contracción,Contraction
278056007,no erosionado,Not eroded
9279009,Extra,Extra
45307008,Extrachorial,Extrachorial
47200007,alto riesgo,High risk
439311009,embarazo,Pregnancy
65727000,Intrauterine,Intrauterine
102876002,Cuello uterino,Uterine neck (Cervix)
72892002,Normal,Normal
127363001,embarazo,Pregnancy
14418008,precoz,Early
169561007,embarazo,Pregnancy
