Intollerance,SNOMED-SCITD
Intolerance to lactose,782415009
Gluten sensitivity,441831003
Alcohol intolerance,102612005
Opioid analgesic adverse reaction,292045009
Glucose galactose intolerance (disorder),802711000000101
Intolerance to monosodium glutamate,782338006
Non-allergic hypersensitivity to contrast media,609551003
Non-allergic hypersensitivity to angiotensin-converting enzyme inhibitor,609537003
Iron adverse reaction,293354007
3-Hydroxy-3-methylglutaryl coenzyme A reductase inhibitor adverse reaction,293432006
Absence of drug reaction,95903000
