ID,en,es
432581000124105,Active ingredient availability decreased due to interaction   ,disponibilidad del ingrediente activo disminuyó debido a la interacción
448177004,Adverse drug interaction   ,interacción farmacológica adversa
95906008,Drug interaction with alcohol   ,interacción de fármaco con alcohol
404204005,Drug interaction with drug   ,interacción medicamentosa
432381000124102,Drug interaction with tobacco   ,Interacción farmacológica con tabaco
95904006,Medication interaction potentiation   ,potenciación de interacción farmacológica
95907004,Medication interaction with food   ,interacción de medicamento con alimentos
448090008,	Adverse medication interaction with food   ,interacción adversa de medicamento con alimento
432391000124104,Adverse drug interaction with tobacco  ,Interacción farmacológica adversa con tabaco
448178009,Adverse medication interaction with medication ,interacción farmacológica adversa con fármaco
448091007,Adverse medication interaction with alcohol  ,interacción farmacológica adversa con alcohol
