ID,Label international (english),Etiqueta internacional (español)
530558861000132000,Atypical diabetes mellitus   ,diabetes mellitus atípica
609568004,Diabetes mellitus due to genetic defect in beta cell function   ,diabetes mellitus debida a defecto genético en la función de las células beta
609569007,Diabetes mellitus due to genetic defect in insulin action   ,diabetes mellitus debida a defecto genético en la acción de la insulina
105401000119101,Diabetes mellitus due to pancreatic injury   ,diabetes mellitus debida a lesión pancreática
199223000,"Diabetes mellitus during pregnancy, childbirth and the puerperium   ","diabetes mellitus durante el embarazo, el parto y el puerperio"
703136005,Diabetes mellitus in remission   ,diabetes mellitus en remisión
46635009,Diabetes mellitus type 1   ,diabetes mellitus tipo 1
44054006,Diabetes mellitus type 2   ,diabetes mellitus tipo 2
111552007,Diabetes mellitus without complication   ,diabetes mellitus sin complicación
716362006,Gingival disease co-occurrent with diabetes mellitus   ,enfermedad gingival concomitante con diabetes mellitus
123763000,Houssay's syndrome   ,síndrome de Houssay
722206009,"Pancreatic hypoplasia, diabetes mellitus, congenital heart disease syndrome   ","síndrome de hipoplasia pancreática, diabetes mellitus y cardiopatía congénita"
8801005,Secondary diabetes mellitus   ,diabetes mellitus secundaria
733072002,Stimmler syndrome   ,síndrome de Stimmler
